site_name,url,active,keywords,scrape_details
Bridgespan Group,https://www.bridgespan.org/about-us/careers,yes,,no
Partnership for Public Service,https://ourpublicservice.org/careers/,yes,,no
B Lab,https://www.bcorporation.net/en-us/about-b-lab/work-with-b-lab,yes,,no
Hilton Foundation,https://secure10.saashr.com/ta/6198075.careers?CareersSearch=&lang=en-US,yes,,no
Bloomberg Philanthropies,https://www.bloomberg.org/careers/,yes,,no
Rockefeller Foundation,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=24726181-f57f-46a1-824d-3c8a89c3328a&ccId=19000101_000001&type=MP&lang=en_US,yes,,no
Arnold Ventures,https://www.arnoldventures.org/careers,yes,,no
Blue Meridian Partners,https://www.bluemeridian.org/careers,yes,,no
J.M. Kaplan Fund,https://jmkfund.org/jobs/,yes,,no
John Templeton Foundation,https://www.templeton.org/careers,yes,,no
Hill-Snowdon Foundation,https://www.idealist.org/en/nonprofit/929eabed503947cbb52689e8e6170638-hill-snowdon-foundation-washington,yes,,no
Clif Bar Family Foundation,https://clifbarfamilyfoundation.org/careers/,yes,,no
UN Foundation,https://unfoundation.org/careers/,yes,,no
Oak Foundation,https://oakfnd.org/about/careers/,yes,,no
Wyss Foundation,https://www.idealist.org/en/nonprofit/574b29e2add24cdbb9c0fe7ab1a0ad29-the-wyss-foundation-washington,yes,,no
New Venture Fund,https://www.newventurefund.org/careers/,yes,,no
Hudson River Foundation,https://www.idealist.org/en/nonprofit/e2e5d9847a454f2f9f2c17bc383b8bea-hudson-river-foundation-new-york,yes,,no
Longview Philanthropy,https://www.longview.org/careers,yes,,no
Founders Pledge,https://founderspledge.teamtailor.com/en-GB/jobs,yes,,no
GiveWell,https://www.givewell.org/about/jobs,yes,,no
Mulago Foundation,https://www.mulagofoundation.org/careers,yes,,no
Draper Richards Kaplan Foundation,https://jobs.lever.co/drkfoundation,yes,,no
Echoing Green,https://apply.workable.com/echoing-green/,yes,,no
Porticus,https://www.porticus.com/who-we-are/our-people-and-careers/,yes,,no
Blue Haven Initiative,https://www.bluehaveninitiative.com/careers,yes,,no
Camber Collective,https://www.cambercollective.com/careers,yes,,no
Berggruen Institute,https://www.berggruen.org/careers,yes,,no
Vulcan Inc,https://vulcan.com/careers,yes,,no
Razom for Ukraine,https://www.razomforukraine.org/careers/,yes,,no
United Help Ukraine,https://unitedhelpukraine.org/,yes,,no
Nova Ukraine,https://novaukraine.org/careers/,yes,,no
Protect Democracy,https://protectdemocracy.org/jobs,yes,,no
States United Democracy Center,https://statesunited.org/about/careers/,yes,,no
Internews,https://internews.org/careers/,yes,,no
Eurasia Foundation,https://www.eurasia.org/work-with-us/careers/,yes,,no
IKEA Foundation,https://ikeafoundation.org/careers/,yes,,no
Lego Foundation,https://www.legofoundation.com/en/about-us/jobs/,yes,,no
New Profit,https://www.newprofit.org/careers/,yes,,no
Co-Impact,https://www.co-impact.org/careers/,yes,,no
National Center for Family Philanthropy,https://www.ncfp.org/careers/,yes,,no
Exponent Philanthropy,https://www.exponentphilanthropy.org/careers/,yes,,no
Global Innovation Fund,https://www.globalinnovation.fund/careers,yes,,no
RAND Corporation,https://www.rand.org/jobs.html,yes,,no
Center for Global Development,https://www.cgdev.org/page/careers,yes,,no
R Street Institute,https://www.rstreet.org/careers/,yes,,no
Niskanen Center,https://www.niskanencenter.org/careers/,yes,,no
International Crisis Group,https://www.crisisgroup.org/careers,yes,,no
Refugees International,https://www.refugeesinternational.org/careers/,yes,,no
Global Fund for Children,https://globalfundforchildren.org/about/careers/,yes,,no
Feeding America,https://www.feedingamerica.org/about-us/careers,yes,,no
Habitat for Humanity International,https://www.habitat.org/about/careers,yes,,no
Rocky Mountain Institute,https://rmi.org/careers/,yes,,no
Save the Children US,https://www.savethechildren.org/us/about-us/careers,yes,,no
